Title	Automatic Segmentation of Multiparty Dialogue	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
I-Reference	2005. Maximum entropy segmentation of broad-	page=7 xpos=0 ypos=6 left-column left-indent font-smallest indented-line year tailchar-hiphen
I-Reference	cast news. In Proceedings of the IEEE International	page=7 xpos=0 ypos=6 left-column left-indent font-smallest aligned-line headchar-lower
I-Reference	Conference on Acoustic, Speech, and Signal Pro-	page=7 xpos=0 ypos=6 left-column left-indent font-smallest aligned-line headchar-capital tailchar-hiphen
I-Reference	cessing, Philadelphia, USA.	page=7 xpos=0 ypos=6 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Reference	S. Dharanipragada, M. Franz, J.S. McCarley, K. Pap-	page=7 xpos=0 ypos=7 left-column full-justified font-smallest hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Reference	ineni, S. Roukos, T. Ward, and W. J. Zhu. 2000.	page=7 xpos=0 ypos=7 left-column left-indent font-smallest indented-line year headchar-lower tailchar-period
I-Reference	Statistical methods for topic segmentation. In Pro-	page=7 xpos=0 ypos=7 left-column left-indent font-smallest aligned-line headchar-capital tailchar-hiphen
I-Reference	ceedings of the International Conference on Spoken	page=7 xpos=0 ypos=7 left-column left-indent font-smallest aligned-line headchar-lower
I-Reference	Language Processing, pages 516–519.	page=7 xpos=0 ypos=7 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-capital tailchar-period above-double-space above-line-space
B-Reference	M. Galley, K. McKeown, E. Fosler-Lussier, and	page=7 xpos=0 ypos=7 left-column full-justified font-smallest hanged-line longer-tail line-double-space line-space headchar-capital
I-Reference	H. Jing. 2003. Discourse segmentation of multi-	page=7 xpos=0 ypos=8 left-column left-indent font-smallest indented-line year headchar-capital tailchar-hiphen
I-Reference	party conversation. In Proceedings of the 41st An-	page=7 xpos=0 ypos=8 left-column left-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Reference	nual Meeting of the Association for Computational	page=7 xpos=0 ypos=8 left-column left-indent font-smallest aligned-line headchar-lower
I-Reference	Linguistics.	page=7 xpos=0 ypos=8 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-capital tailchar-period above-double-space above-line-space
B-Reference	M. Gavalda, K. Zechner, and G. Aist. 1997. High per-	page=7 xpos=0 ypos=8 left-column full-justified font-smallest hanged-line longer-tail line-double-space line-space year headchar-capital tailchar-hiphen
I-Reference	formance segmentation of spontaneous speech using	page=7 xpos=0 ypos=8 left-column left-indent font-smallest indented-line headchar-lower
I-Reference	part of speech and trigger word information. In Pro-	page=7 xpos=0 ypos=9 left-column left-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Reference	ceedings of the Fifth ANLP Conference, pages 12–	page=7 xpos=0 ypos=9 left-column left-indent font-smallest aligned-line headchar-lower
I-Reference	15.	page=7 xpos=0 ypos=9 left-column left-indent right-indent font-smallest aligned-line shorter-tail tailchar-period column-bottom
B-Reference	T. Hain, J. Dines, G. Garau, M. Karafiat, D. Moore,	page=7 xpos=5 ypos=0 right-column full-justified font-smallest column-top headchar-capital tailchar-comma
I-Reference	V. Wan, R. Ordelman, and S. Renals. 2005. Tran-	page=7 xpos=5 ypos=0 right-column left-indent font-smallest indented-line year headchar-capital tailchar-hiphen
I-Reference	scription of conference room meetings: an investi-	page=7 xpos=5 ypos=0 right-column left-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Reference	gation. In Proceedings of Interspeech.	page=7 xpos=5 ypos=0 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Reference	M. Hearst. 1997. Texttiling: Segmenting text into mul-	page=7 xpos=5 ypos=0 right-column full-justified font-smallest hanged-line longer-tail line-double-space line-space year headchar-capital tailchar-hiphen
I-Reference	tiparagraph subtopic passages. Computational Lin-	page=7 xpos=5 ypos=0 right-column left-indent font-smallest indented-line headchar-lower tailchar-hiphen
I-Reference	guistics, 25(3):527–571.	page=7 xpos=5 ypos=1 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Reference	M. Kan. 2003. Automatic text summarization as	page=7 xpos=5 ypos=1 right-column full-justified font-smallest hanged-line longer-tail line-double-space line-space year headchar-capital
I-Reference	applied to information retrieval: Using indicative	page=7 xpos=5 ypos=1 right-column left-indent font-smallest indented-line headchar-lower
I-Reference	and informative summaries. Ph.D. thesis, Columbia	page=7 xpos=5 ypos=1 right-column left-indent font-smallest aligned-line headchar-lower
I-Reference	University, New York USA.	page=7 xpos=5 ypos=1 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-capital tailchar-period above-double-space above-line-space
B-Reference	Y. Liu, E. Shriberg, A. Stolcke, and M. Harper. 2004.	page=7 xpos=5 ypos=2 right-column full-justified font-smallest hanged-line longer-tail line-double-space line-space year headchar-capital tailchar-period
I-Reference	Using machine learning to cope with imbalanced	page=7 xpos=5 ypos=2 right-column left-indent font-smallest indented-line headchar-capital
I-Reference	classes in natural sppech: Evidence from sentence	page=7 xpos=5 ypos=2 right-column left-indent font-smallest aligned-line headchar-lower
I-Reference	boundary and disfluency detection. In Proceedings	page=7 xpos=5 ypos=2 right-column left-indent font-smallest aligned-line headchar-lower
I-Reference	of the Intl. Conf. Spoken Language Processing.	page=7 xpos=5 ypos=2 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Reference	N. Morgan, D. Baron, S. Bhagat, H. Carvey,	page=7 xpos=5 ypos=2 right-column full-justified font-smallest hanged-line longer-tail line-double-space line-space headchar-capital tailchar-comma
I-Reference	R. Dhillon, J. Edwards, D. Gelbart, A. Janin,	page=7 xpos=5 ypos=3 right-column left-indent font-smallest indented-line headchar-capital tailchar-comma
I-Reference	A. Krupski, B. Peskin, T. Pfau, E. Shriberg, A. Stol-	page=7 xpos=5 ypos=3 right-column left-indent font-smallest aligned-line headchar-capital tailchar-hiphen
I-Reference	cke, , and C. Wooters. 2003. Meetings about meet-	page=7 xpos=5 ypos=3 right-column left-indent font-smallest aligned-line year headchar-lower tailchar-hiphen
I-Reference	ings: research at icsi on speech in multiparty conver-	page=7 xpos=5 ypos=3 right-column left-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Reference	sations. In Proceedings of the IEEE International	page=7 xpos=5 ypos=3 right-column left-indent font-smallest aligned-line headchar-lower
I-Reference	Conference on Acoustic, Speech, and Signal Pro-	page=7 xpos=5 ypos=3 right-column left-indent font-smallest aligned-line headchar-capital tailchar-hiphen
I-Reference	cessing.	page=7 xpos=5 ypos=3 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Reference	L. Pevzner and M. Hearst. 2002. A critique and im-	page=7 xpos=5 ypos=4 right-column full-justified font-smallest hanged-line longer-tail line-double-space line-space year headchar-capital tailchar-hiphen
I-Reference	provement of an evaluation metric for text segmen-	page=7 xpos=5 ypos=4 right-column left-indent font-smallest indented-line headchar-lower tailchar-hiphen
I-Reference	tation. Computational Linguistics, 28(1):19–36.	page=7 xpos=5 ypos=4 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Reference	E. Shriberg, A. Stolcke, D. Hakkani-tur, and G. Tur.	page=7 xpos=5 ypos=4 right-column full-justified font-smallest hanged-line longer-tail line-double-space line-space headchar-capital tailchar-period
I-Reference	2000. Prosody-based automatic segmentation of	page=7 xpos=5 ypos=4 right-column left-indent font-smallest indented-line year
I-Reference	speech into sentences and topics. Speech Commu-	page=7 xpos=5 ypos=5 right-column left-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Reference	nications, 31(1-2):127–254.	page=7 xpos=5 ypos=5 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Reference	N. Stokes, J. Carthy, and A.F. Smeaton. 2004. Se-	page=7 xpos=5 ypos=5 right-column full-justified font-smallest hanged-line longer-tail line-double-space line-space year headchar-capital tailchar-hiphen
I-Reference	lect: a lexical cohesion based news story segmenta-	page=7 xpos=5 ypos=5 right-column left-indent font-smallest indented-line headchar-lower tailchar-hiphen
I-Reference	tion system. AI Communications, 17(1):3–12, Jan-	page=7 xpos=5 ypos=5 right-column left-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Reference	uary.	page=7 xpos=5 ypos=5 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Reference	P. van Mulbregt, J. Carp, L. Gillick, S. Lowe, and	page=7 xpos=5 ypos=6 right-column full-justified font-smallest hanged-line longer-tail line-double-space line-space headchar-capital
I-Reference	J. Yamron. 1999. Segmentation of automatically	page=7 xpos=5 ypos=6 right-column left-indent font-smallest indented-line year headchar-capital
I-Reference	transcribed broadcast news text. In Proceedings of	page=7 xpos=5 ypos=6 right-column left-indent font-smallest aligned-line headchar-lower
I-Reference	the DARPA Broadcast News Workshop, pages 77–	page=7 xpos=5 ypos=6 right-column left-indent font-smallest aligned-line headchar-lower
I-Reference	80. Morgan Kaufman Publishers.	page=7 xpos=5 ypos=6 right-column left-indent right-indent font-smallest aligned-line shorter-tail itemization tailchar-period above-double-space above-line-space
B-Reference	Klaus Zechner and Alex Waibel. 2000. DIASUMM:	page=7 xpos=5 ypos=7 right-column full-justified font-smallest hanged-line longer-tail line-double-space line-space year headchar-capital tailchar-colon
I-Reference	Flexible summarization of spontaneous dialogues in	page=7 xpos=5 ypos=7 right-column left-indent font-smallest indented-line headchar-capital
I-Reference	unrestricted domains. In Proceedings of COLING-	page=7 xpos=5 ypos=7 right-column left-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Reference	2000, pages 968–974.	page=7 xpos=5 ypos=7 right-column left-indent right-indent font-smallest aligned-line shorter-tail year tailchar-period column-bottom above-blank-line above-double-space above-line-space
Page	280	page=7 xpos=4 ypos=9 single-column left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only
